TRPRI_PRIVILEGIO_PK;TRPRI_NOME;TRPRI_COD_PRIVILEGIO;TRPRI_DESCRIZIONE;TRPRI_CONF
1;R_SETUP_PROCEDURE_PARAM;R_SETUP_PROCEDURE_PARAM;Impostazione Dei Parametri Iniziali Trasversali A Tutti I Procedimenti Cessazione;0
2;R_RIASSIGN_PROCEDURE;R_RIASSIGN_PROCEDURE;Riassegna La Lavorazione;0
3;R_ASSIGN_ROLE_USER;R_ASSIGN_ROLE_USER;Assegnazione Ruoli Agli Utenti;0
4;W_START_PROCEDURE;W_START_PROCEDURE;Avvia La Procedura;0
5;W_MANAGE_PROCEDURE_DATA;W_MANAGE_PROCEDURE_DATA;Gestisce I Dati Del Procedimento;0
6;W_PREPARE_NOTES;W_PREPARE_NOTES;Predispone Appunti, Note, Lettere Di Comunicazioni E Decreti;0
7;W_PREPARE_ADHOC_CLASSIFICATION;W_PREPARE_ADHOC_CLASSIFICATION;Predispone La Classificazione Adhoc Di Lettere E Decreti;0
8;R_LIST_PROCEDURE;R_LIST_PROCEDURE;Visualizzazione Liste Procedimenti In Corso;0
9;R_LIST_RANK_HISTORY;R_LIST_RANK_HISTORY;Visualizzazione Storico Delle Liste Anno/F.A./Grado/Ruolo;0
10;R_LIST_RANK_ROLE_PROCEDURE;R_LIST_RANK_ROLE_PROCEDURE;Visualizzazione Liste Gradi/Ruoli Del Procedimento;0
11;R_LIST_QUESTIONS_PRESENTED;R_LIST_QUESTIONS_PRESENTED;Visualizzazione Della Lista Della Domande Presentate;0
12;W_SUBMIT_FOR_APPROVAL;W_SUBMIT_FOR_APPROVAL;Invia All'approvazione;0
13;W_SEND_IN_SIGN_DECREE;W_SEND_IN_SIGN_DECREE;Invio In Fase Di Firma Del Decreto;0
14;W_SEND_TO_ANOTHER_APPROVER;W_SEND_TO_ANOTHER_APPROVER;Invio Ad Altro Approvatore;0
15;W_SEND_ADHOC;W_SEND_ADHOC;Invia Lettere In Adhoc;0
16;W_SUBMIT_ADHOC_APPROVAL;W_SUBMIT_ADHOC_APPROVAL;Invia In Approvazione Adhoc;0
17;W_GET_DOCS_ACTS_FOR_REVISION;W_GET_DOCS_ACTS_FOR_REVISION;Restituisce Task Per Rettifiche A Documenti E Atti;0
18;W_REVISION_NOTES;W_REVISION_NOTES;Rettifica Appunti, Note E Lettere Di Comunicazioni;0
19;W_SIGN_DECREE;W_SIGN_DECREE;Firma Decreto;0
20;W_DECREE_PROTOCOL;W_DECREE_PROTOCOL;Protocollazione Decreto;0
21;W_ANTICIPATED_PROCEDURE_CLOSE;W_ANTICIPATED_PROCEDURE_CLOSE;Chiusura Anticipata Per Istanza Di Parte O Inammissibilita Del Procedimento D'ufficio;0
22;W_SEND_ADHOC_LETTER_TRANS_DECREE;W_SEND_ADHOC_LETTER_TRANS_DECREE;Invio In Adhoc Lettere Trasmissione E Decreto;0
23;W_CLOSE_PROCEDURE;W_CLOSE_PROCEDURE;Conclusione Del Procedimento Collettivo;0
24;W_MANAGE_TEMPLATE;W_MANAGE_TEMPLATE;Gestisce i template;0